"time","delta","opening","opponent_exp","eval_depth","white_elo","black_elo","poi_is_white","termination","index_after_merge"
405,1,"1. e4 c6 2. d4 d5 3. e5 Bf5 ",14,20,1332,1272,1,"won by checkmate",432
463,2,"1. e4 e5 2. Nf3 d6 3. Bc4 c5 ",12,20,1321,1206,1,"won by resignation",531
29,2,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nxe4 ",67,20,1313,1335,1,"won by resignation",642
508,0,"1. e4 c5 2. d3 Nc6 3. f4 d6 ",8,20,1330,1305,0,"won by resignation",168
442,0,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",81,20,1313,1315,1,"won by resignation",376
109,1,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",9,20,1241,1245,0,"won by checkmate",265
102,1,"1. d4 d5 2. e3 Nf6 3. f3 g6 ",14,20,1216,1252,0,"won by checkmate",92
40,0,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 ",168,20,1261,1276,1,"won by resignation",487
130,2,"1. e4 c5 2. Nf3 d6 3. Bc4 Nc6 ",2,20,1265,1253,0,"won by resignation",234
103,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",2,20,1245,1246,1,"won by resignation",602
129,1,"1. e4 e5 2. Nf3 Nc6 3. c3 d6 ",4,20,1236,1210,1,"won by checkmate",583
59,0,"1. b3 d5 2. Bb2 Nc6 3. g3 e5 ",7,20,1253,1228,0,"won by resignation",6
95,1,"1. e4 d6 2. d4 Bd7 3. e5 e6 ",8,20,1221,1264,1,"won by resignation",503
85,1,"1. e4 g6 2. d4 Bg7 3. Nf3 e6 ",2,20,1213,1246,1,"won by resignation",677
81,1,"1. e4 e6 2. d4 d5 3. e5 c5 ",11,20,1205,1235,1,"won by checkmate",651
28,0,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",27,20,1197,1197,0,"won by resignation",260
141,1,"1. d4 d5 2. Bf4 c5 3. e3 Nc6 ",1,20,1150,1204,0,"won by resignation",27
127,2,"1. e4 c5 2. Nc3 d6 3. Nf3 Nc6 ",6,20,1167,1211,0,"won by resignation",203
133,0,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 ",39,20,1201,1121,1,"won by resignation",478
120,2,"1. d4 d5 2. Bf4 c5 3. dxc5 Nc6 ",2,20,1158,1208,0,"won by resignation",25
116,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",16,20,1215,1168,1,"won by resignation",601
120,1,"1. e4 Nc6 2. f4 d5 3. e5 f6 ",1,20,1222,1168,1,"won by resignation",688
134,2,"1. e4 c5 2. Nc3 d6 3. f4 Nc6 ",1,20,1247,1214,0,"won by resignation",201
141,1,"1. e4 g6 2. Nf3 Bg7 3. Bc4 e6 ",7,20,1222,1191,1,"won by resignation",684
86,1,"1. e4 e6 2. d4 f6 3. Nf3 Qe7 ",13,20,1230,1209,1,"won by checkmate",668
136,2,"1. b3 d5 2. Bb2 Nc6 3. a3 Bf5 ",2,20,1184,1229,0,"draw",3
131,1,"1. e4 c5 2. Nc3 d6 3. Nd5 e6 ",1,20,1254,1238,0,"won by checkmate",202
81,2,"1. d4 d5 2. c4 e5 3. dxe5 d4 ",1,20,1198,1245,0,"won by resignation",54
134,2,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe6+ ",508,20,1253,1221,1,"won by resignation",498
74,1,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",1,20,1244,1239,1,"won by checkmate",544
129,1,"1. e3 c5 2. b3 e6 3. Bb2 a6 ",2,20,1252,1230,1,"won by resignation",110
124,0,"1. b3 d5 2. Bb2 Nc6 3. e3 Bf5 ",11,20,1282,1261,0,"won by resignation",4
139,1,"1. d4 d5 2. Nf3 Nc6 3. Bf4 Bf5 ",5,20,1220,1268,0,"won by resignation",105
20,2,"1. e4 c5 2. Nf3 d6 3. Bc4 e6 ",18,20,1263,1260,0,"won by resignation",230
396,1,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",5,20,1322,1331,1,"won by resignation",553
231,0,"1. e4 c5 2. Nf3 e6 3. b3 Nc6 ",1,20,1331,1350,1,"won by resignation",327
316,2,"1. e4 c5 2. Nf3 d6 3. c3 Nf6 ",11,20,1355,1323,0,"won by resignation",254
516,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",10,20,1284,1322,0,"draw",271
443,1,"1. e4 c5 2. Nf3 d6 3. c3 Nf6 ",30,20,1232,1328,0,"won by checkmate",252
334,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",23,20,1320,1317,1,"won by resignation",282
140,0,"1. e4 d5 2. exd5 Nf6 3. c4 c6 ",2,20,1269,1277,1,"won by resignation",464
118,0,"1. e4 c5 2. d4 cxd4 3. Nf3 d3 ",1,20,1214,1276,0,"won by resignation",182
122,1,"1. e4 c6 2. d4 d5 3. e5 Bf5 ",56,20,1268,1277,1,"won by checkmate",426
97,2,"1. e3 d6 2. Bc4 h6 3. Nf3 e6 ",1,20,1259,1241,1,"won by resignation",115
105,1,"1. e4 c5 2. Bc4 d6 3. Nc3 Nc6 ",4,20,1270,1251,0,"won by checkmate",135
150,1,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 ",275,20,1259,1246,1,"won by resignation",489
102,1,"1. e4 e6 2. d4 d5 3. e5 c5 ",34,20,1251,1255,1,"won by resignation",652
90,1,"1. e4 c5 2. Nf3 d6 3. Nc3 Nf6 ",17,20,1276,1260,0,"won by resignation",324
125,0,"1. e3 d5 2. c4 d4 3. exd4 Qxd4 ",18,20,1227,1251,0,"won by resignation",113
137,0,"1. e4 c5 2. Nf3 d6 3. Nc3 g6 ",1,20,1229,1259,0,"won by resignation",318
350,1,"1. e4 e5 2. Nf3 d6 3. Bc4 Nf6 ",49,20,1327,1268,1,"won by checkmate",537
391,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",36,20,1288,1334,0,"won by resignation",273
436,2,"1. e4 e5 2. Nf3 Nc6 3. c3 d6 ",3,20,1327,1368,1,"won by resignation",590
68,0,"1. e4 c5 2. Nc3 g6 3. Bc4 Bg7 ",1,20,1354,1319,0,"won by resignation",210
526,1,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",48,20,1313,1422,1,"won by resignation",379
456,2,"1. e4 c6 2. d4 d5 3. e5 Bf5 ",25,20,1305,1338,1,"won by resignation",430
362,1,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",1,20,1312,1249,1,"won by checkmate",551
163,0,"1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 ",4,20,1302,1304,0,"won by resignation",226
599,1,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",13,20,1313,1321,1,"won by checkmate",378
598,1,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",8,20,1332,1305,0,"won by checkmate",284
49,1,"1. d4 d5 2. c4 e5 3. e3 exd4 ",1,20,1249,1267,0,"won by checkmate",71
59,1,"1. e4 d6 2. d4 Nf6 3. Nc3 g6 ",56,20,1275,1273,1,"won by checkmate",509
131,1,"1. e4 c5 2. Nf3 d6 3. d4 a6 ",13,20,1283,1259,1,"won by checkmate",257
130,2,"1. d4 d5 2. e3 c5 3. Nc3 Nc6 ",3,20,1223,1290,0,"won by resignation",87
143,1,"1. e4 c5 2. Bc4 d6 3. d3 e6 ",3,20,1262,1281,0,"won by resignation",134
130,2,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 ",62,20,1272,1267,1,"won by resignation",490
121,0,"1. e3 c5 2. d4 d5 3. c3 Nc6 ",1,20,1264,1280,0,"won by resignation",111
121,1,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",6,20,1271,1264,1,"won by checkmate",604
176,2,"1. e4 c6 2. d4 d5 3. e5 Bf5 ",33,20,1298,1355,1,"won by resignation",428
368,0,"1. e4 e5 2. Nf3 Nc6 3. c3 b6 ",3,20,1307,1312,1,"won by resignation",543
617,1,"1. d4 d5 2. c4 e5 3. Nc3 exd4 ",1,20,1284,1315,0,"won by checkmate",77
351,0,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",21,20,1358,1308,0,"won by resignation",290
349,2,"1. e4 c5 2. Nf3 d6 3. c3 Nf6 ",8,20,1279,1315,0,"won by resignation",253
528,0,"1. e4 e5 2. Nf3 Nc6 3. c3 d6 ",2,20,1323,1315,1,"won by resignation",589
448,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",1,20,1315,1351,1,"won by resignation",608
291,1,"1. e4 c5 2. c3 Nf6 3. d4 Nxe4 ",1,20,1298,1306,0,"won by checkmate",159
345,0,"1. d4 d5 2. Bf4 c5 3. e3 Nc6 ",4,20,1439,1301,0,"won by resignation",37
340,2,"1. e4 g6 2. d4 Bg7 3. Nf3 e6 ",23,20,1292,1285,1,"won by resignation",678
351,0,"1. e4 c5 2. Nc3 g6 3. f4 Bg7 ",1,20,1291,1284,0,"won by resignation",212
447,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Be7 ",2,20,1275,1245,1,"won by resignation",574
487,1,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 ",69,20,1268,1319,1,"won by checkmate",479
109,2,"1. e4 c5 2. b4 c4 3. d4 cxd3 ",1,20,1301,1277,0,"won by resignation",133
566,1,"1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 ",1,20,1286,1292,1,"won by checkmate",692
357,2,"1. e4 c5 2. d4 cxd4 3. c3 dxc3 ",1,20,1284,1294,0,"won by resignation",171
442,0,"1. e4 c6 2. d4 d5 3. e5 Bf5 ",3,20,1302,1276,1,"won by resignation",429
596,1,"1. e4 c5 2. Nf3 d6 3. c3 Nc6 ",2,20,1208,1308,0,"won by resignation",250
379,0,"1. e4 e5 2. Nf3 Nc6 3. c3 d5 ",2,20,1315,1271,1,"won by resignation",577
25,2,"1. e4 c5 2. d4 cxd4 3. c3 dxc3 ",18,20,1314,1323,0,"won by resignation",173
216,2,"1. e4 c5 2. Nf3 e6 3. d4 cxd4 ",65,20,1330,1280,1,"won by resignation",339
280,1,"1. e4 c5 2. c3 Nc6 3. d4 cxd4 ",25,20,1332,1338,0,"won by checkmate",154
72,0,"1. e4 c5 2. Nf3 d6 3. c3 Nc6 ",4,20,1436,1332,0,"won by resignation",251
263,2,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",4,20,1325,1368,1,"won by resignation",554
373,0,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",1,20,1334,1354,1,"won by resignation",611
39,0,"1. e4 c5 2. Nf3 d6 3. Bc4 e6 ",3,20,1468,1329,0,"won by resignation",231
432,2,"1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 ",5,20,1298,1320,0,"won by resignation",225
501,1,"1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 ",4,20,1310,1232,1,"won by resignation",527
456,2,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 ",60,20,1303,1352,1,"won by resignation",481
250,0,"1. e4 c5 2. Nf3 d6 3. Bc4 Nc6 ",1,20,1325,1295,0,"won by resignation",236
412,2,"1. e4 c5 2. Nf3 d6 3. d4 Nf6 ",1,20,1287,1316,1,"won by resignation",316
427,2,"1. e4 e6 2. d4 d6 3. Nf3 a6 ",21,20,1279,1279,1,"won by resignation",666
563,2,"1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 ",4,20,1188,1277,0,"draw",100
554,0,"1. e4 c5 2. d4 cxd4 3. c3 Nc6 ",12,20,1336,1270,0,"won by resignation",181
255,2,"1. d4 d5 2. Nc3 Nf6 3. Bg5 Nc6 ",1,20,1238,1277,0,"won by resignation",101
585,1,"1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6 ",28,20,1285,1267,1,"won by checkmate",634
498,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",8,20,1344,1295,0,"won by resignation",286
307,2,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",15,20,1287,1321,1,"won by resignation",372
296,0,"1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 ",5,20,1296,1336,1,"won by resignation",548
446,0,"1. e4 d6 2. d4 c6 3. Nf3 Bg4 ",35,20,1303,1266,1,"won by resignation",504
6,2,"1. e4 d5 2. Nf3 dxe4 3. Nd4 Qxd4 ",3,20,1264,1305,1,"won by resignation",500
133,0,"1. d4 d5 2. Nf3 c5 3. Bf4 Nc6 ",1,20,1292,1256,0,"won by resignation",102
130,0,"1. e4 e6 2. d4 d5 3. e5 c5 ",10,20,1263,1226,1,"won by resignation",653
397,0,"1. e4 c5 2. d4 cxd4 3. Qxd4 Nc6 ",6,20,1282,1294,0,"won by resignation",185
440,2,"1. e4 c6 2. d4 d5 3. e5 Bf5 ",42,20,1286,1292,1,"won by resignation",427
315,0,"1. d4 d5 2. c4 e5 3. dxe5 d4 ",1,20,1260,1277,0,"won by resignation",55
78,2,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",11,20,1254,1236,1,"won by resignation",370
616,1,"1. e4 c5 2. Bc4 Nc6 3. Nf3 e6 ",1,20,1204,1283,0,"won by resignation",144
548,0,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",1,20,1292,1296,1,"won by resignation",606
278,0,"1. e4 c5 2. Nf3 d6 3. Bc4 Nf6 ",1,20,1312,1284,0,"won by resignation",249
406,0,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",5,20,1269,1275,0,"won by resignation",270
602,2,"1. e4 c5 2. Nf3 d6 3. d4 cxd4 ",13,20,1268,1331,1,"won by resignation",269
386,1,"1. e4 c5 2. Nc3 Nc6 3. f4 e6 ",5,20,1279,1276,0,"won by resignation",218
476,2,"1. e4 d5 2. exd5 Nf6 3. c4 e6 ",13,20,1268,1273,1,"won by resignation",465
415,2,"1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 ",19,20,1304,1261,0,"won by resignation",374
437,1,"1. e4 c5 2. Nf3 d6 3. Bc4 Nc6 ",3,20,1187,1267,0,"won by checkmate",232
381,0,"1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 ",2,18,1274,1229,1,"won by resignation",605
419,2,"1. e4 e5 2. Nf3 d6 3. Bc4 Bg4 ",19,20,1266,1294,1,"won by resignation",525
512,0,"1. e4 e5 2. Nf3 Nc6 3. c3 d6 ",2,20,1273,1207,1,"won by resignation",585
59,1,"1. e4 c5 2. d4 Nc6 3. Nf3 e6 ",2,20,1213,1261,0,"won by checkmate",187
94,2,"1. e4 c5 2. Nf3 d6 3. d3 g6 ",1,20,1265,1269,0,"won by resignation",255
512,2,"1. e4 c5 2. d4 cxd4 3. c3 d3 ",3,20,1247,1281,0,"won by resignation",170
